id,text,label,language,category,source,is_synthetic,notes
1,"أرباح مضمونة خلال 24 ساعة",blocked,ar,finance,manual,yes,"financial guarantee claim"
2,"استثمار بدون مخاطر مع دخل ثابت",blocked,ar,finance,manual,yes,"no risk + guaranteed return"
3,"اكسب المال يوميًا بدون أي مجهود",blocked,ar,finance,manual,yes,"unrealistic income claim"
4,"اخسر 10 كيلو خلال أسبوع مضمون",blocked,ar,health,manual,yes,"false medical claim"
5,"نتائج مضمونة 100% بدون آثار جانبية",blocked,ar,health,manual,yes,"false guarantee"
6,"عرض لفترة محدودة! سارع الآن",flagged,ar,retail,manual,yes,"urgency tactic"
7,"عرض حصري اليوم فقط",flagged,ar,retail,manual,yes,"scarcity marketing"
8,"قدم الآن قبل انتهاء الفرصة",flagged,ar,jobs,manual,yes,"pressure language"
9,"أفضل منتج في العالم",flagged,ar,retail,manual,yes,"exaggeration"
10,"منتج جديد متوفر الآن",approved,ar,retail,manual,yes,"normal promotion"
11,"دخل ثابت من المنزل بدون خبرة",blocked,ar,finance,manual,yes,"unrealistic income claim"
12,"استثمار آمن مع أرباح يومية مضمونة",blocked,ar,finance,manual,yes,"false guarantee"
13,"حرق الدهون بسرعة بدون رجيم",blocked,ar,health,manual,yes,"false medical claim"
14,"نتائج فورية من أول استخدام",blocked,ar,health,manual,yes,"instant result claim"
15,"ابدأ الآن بتحقيق دخل إضافي مضمون",blocked,ar,finance,manual,yes,"misleading income promise"
16,"العرض ينتهي الليلة لا تفوت الفرصة",flagged,ar,retail,manual,yes,"urgency tactic"
17,"عدد المقاعد محدود سارع بالتسجيل",flagged,ar,education,manual,yes,"scarcity tactic"
18,"سجل الآن قبل إغلاق التسجيل",flagged,ar,education,manual,yes,"pressure language"
19,"الكمية محدودة",flagged,ar,retail,manual,yes,"scarcity marketing"
20,"الجميع يتحدث عن هذا المنتج",flagged,ar,retail,manual,yes,"social proof exaggeration"
21,"توصيل سريع لجميع المناطق",approved,ar,retail,manual,yes,"normal service info"
22,"دورة تدريبية مجانية للمبتدئين",approved,ar,education,manual,yes,"normal offer"
23,"خصومات على منتجات مختارة",approved,ar,retail,manual,yes,"normal promotion"
24,"تشكيلة جديدة وصلت حديثًا",approved,ar,retail,manual,yes,"normal product announcement"
25,"ساعات عمل مرنة متاحة",approved,ar,jobs,manual,yes,"neutral job info"
26,"ضاعف دخلك خلال أسبوع واحد",blocked,ar,finance,manual,yes,"unrealistic income claim"
27,"موافقة مضمونة بدون شروط",blocked,ar,finance,manual,yes,"false guarantee"
28,"سارع قبل انتهاء هذه الفرصة",flagged,ar,finance,manual,yes,"urgency pressure"
29,"أفضل حل لجميع مشاكلك",flagged,ar,health,manual,yes,"exaggeration"
30,"استشارة مجانية للعملاء الجدد",approved,ar,general,manual,yes,"normal service info"
31,"استفد من خصم خاص عند الشراء اليوم",approved,ar,retail,manual,no,"normal promotion"
32,"فرصة محدودة للتسجيل قبل اكتمال العدد",flagged,ar,education,manual,no,"urgency and scarcity"
33,"مردود ثابت ومضمون بدون أي مخاطرة",blocked,ar,finance,manual,no,"false financial guarantee"
34,"اطلب الآن لتحصل على التوصيل المجاني",approved,ar,retail,manual,no,"normal offer"
35,"لا تضيع الفرصة الأخيرة للانضمام",flagged,ar,general,manual,no,"pressure language"
36,"نتائج سريعة ومضمونة خلال أيام",blocked,ar,health,manual,no,"false medical promise"
37,"اكتشف التشكيلة الجديدة بأسعار مناسبة",approved,ar,retail,manual,no,"normal product promotion"
38,"احجز مقعدك الآن قبل إغلاق التسجيل",flagged,ar,education,manual,no,"urgency tactic"
39,"زيادة أرباحك تبدأ من اليوم دون خسارة",blocked,ar,finance,manual,no,"false no-loss claim"
40,"خدمة متوفرة على مدار الساعة لجميع العملاء",approved,ar,general,manual,no,"normal service info"
41,"أعلن التقرير عن تطورات جديدة في المشروع",approved,ar,general,manual,no,"neutral news statement"
42,"شهدت الأسواق ارتفاعًا في الأسعار هذا الأسبوع",approved,ar,finance,manual,no,"informational content"
43,"تم إطلاق المنتج في الأسواق المحلية",approved,ar,retail,manual,no,"neutral announcement"
44,"تتناول المقالة تأثير التكنولوجيا على التعليم",approved,ar,education,manual,no,"informational article"
45,"أفادت المصادر بحدوث تغييرات في السياسات",approved,ar,general,manual,no,"neutral reporting"
46,"اكتشف العرض الجديد الآن",flagged,ar,retail,manual,no,"mild promotional tone"
47,"لا تفوت فرصة التعرف على خدماتنا",flagged,ar,general,manual,no,"soft urgency"
48,"جرب الآن لتحصل على أفضل تجربة",flagged,ar,retail,manual,no,"promotional language"
50,"شهدت المدينة افتتاح عدد من المشاريع الجديدة",approved,ar,general,manual,no,"neutral news"
51,"أوضح المسؤول تفاصيل الخطة القادمة",approved,ar,general,manual,no,"informational statement"
52,"تقدم الشركة خدماتها في عدة مجالات مختلفة",approved,ar,retail,manual,no,"neutral company info"
53,"تم نشر التقرير السنوي للشركة",approved,ar,finance,manual,no,"neutral reporting"
54,"يستعرض البرنامج مجموعة من المواضيع المهمة",approved,ar,education,manual,no,"neutral content"
55,"تم تنظيم الحدث بحضور عدد من المشاركين",approved,ar,general,manual,no,"event coverage"
56,"اكتشف العرض الجديد الآن",flagged,ar,retail,manual,no,"mild promotional tone"
57,"لا تفوت فرصة التعرف على خدماتنا",flagged,ar,general,manual,no,"soft urgency"
58,"جرب الآن لتحصل على أفضل تجربة",flagged,ar,retail,manual,no,"promotional language"
59,"ابدأ اليوم واستفد من المزايا",flagged,ar,finance,manual,no,"soft persuasion"
60,"انضم الآن إلى آلاف المستخدمين",flagged,ar,general,manual,no,"social proof"
61,"فرصة رائعة بانتظارك",flagged,ar,general,manual,no,"vague promotion"
62,"تعرف على التفاصيل الآن",flagged,ar,general,manual,no,"call to action"
63,"احصل على أفضل العروض اليوم",flagged,ar,retail,manual,no,"marketing tone"
64,"ابدأ رحلتك معنا اليوم",flagged,ar,general,manual,no,"soft persuasive tone"
65,"استفد من الخدمات المتاحة الآن",flagged,ar,retail,manual,no,"promotion"
66,"اربح آلاف الريالات يوميًا بدون عمل",blocked,ar,finance,manual,no,"unrealistic income claim"
67,"نتائج مضمونة فورًا بدون أي جهد",blocked,ar,health,manual,no,"false guarantee"
68,"استثمار مضمون 100% بدون خسارة",blocked,ar,finance,manual,no,"false financial claim"
69,"علاج نهائي خلال يومين فقط",blocked,ar,health,manual,no,"false medical claim"
70,"استقبل المسؤول وفدًا من ممثلي المؤسسة خلال الاجتماع",approved,ar,general,manual,no,"neutral news reporting"
71,"ناقش اللقاء عددًا من القضايا المتعلقة بالتطوير",approved,ar,general,manual,no,"neutral article tone"
72,"أشارت التقارير إلى استمرار العمل في المرحلة الحالية",approved,ar,general,manual,no,"neutral reporting"
73,"سلطت المقالة الضوء على عدد من التطورات الأخيرة",approved,ar,general,manual,no,"informational article"
74,"تحدث التقرير عن تفاصيل الحدث وآثاره المحتملة",approved,ar,general,manual,no,"neutral article wording"
75,"تناول الخبر مستجدات المشروع خلال الفترة الماضية",approved,ar,general,manual,no,"neutral news style"
81,"أعلنت الجهات المختصة عن بدء تنفيذ المشروع قريبًا",approved,ar,general,manual,no,"neutral news"
82,"ناقش الاجتماع سبل تطوير الخدمات المقدمة",approved,ar,general,manual,no,"neutral discussion"
83,"أشارت البيانات إلى تحسن الأداء خلال الفترة الماضية",approved,ar,finance,manual,no,"informational"
84,"تمت مراجعة الخطة وفق المعطيات الحالية",approved,ar,general,manual,no,"neutral reporting"
85,"عرض التقرير أبرز التحديات التي تواجه القطاع",approved,ar,general,manual,no,"analysis content"
86,"اكتشف خدماتنا الجديدة الآن",flagged,ar,retail,manual,no,"soft promotion"
87,"ابدأ اليوم واستفد من الفرص المتاحة",flagged,ar,general,manual,no,"mild urgency"
88,"انضم الآن وكن جزءًا من التجربة",flagged,ar,general,manual,no,"social persuasion"
89,"لا تفوت هذا العرض المميز",flagged,ar,retail,manual,no,"urgency"
90,"تعرف على التفاصيل الكاملة الآن",flagged,ar,general,manual,no,"call to action"
91,"اربح آلاف الريالات يوميًا بدون أي خبرة",blocked,ar,finance,manual,no,"unrealistic earning"
92,"نتائج فورية مضمونة بنسبة 100%",blocked,ar,health,manual,no,"false guarantee"
93,"استثمر الآن بدون أي مخاطرة",blocked,ar,finance,manual,no,"false claim"
94,"علاج مضمون لجميع الحالات خلال أيام",blocked,ar,health,manual,no,"false medical"
95,"حقق دخلًا ثابتًا بدون عمل",blocked,ar,finance,manual,no,"scam pattern"
96,"شهدت الأسواق استقرارًا نسبيًا خلال الأسبوع",approved,ar,finance,manual,no,"neutral"
97,"تحدث التقرير عن تأثير الأحداث الأخيرة",approved,ar,general,manual,no,"news tone"
98,"تناول المقال جوانب متعددة من الموضوع",approved,ar,general,manual,no,"article tone"
99,"تم الإعلان عن نتائج الدراسة الجديدة",approved,ar,education,manual,no,"informational"
100,"أوضحت الجهات الرسمية تفاصيل القرار",approved,ar,general,manual,no,"official statement"
101,"سجل الآن وابدأ تجربتك معنا",flagged,ar,general,manual,no,"soft persuasion"
102,"ابدأ اليوم واستفد من خدماتنا",flagged,ar,general,manual,no,"marketing tone"
103,"لا تنتظر، اكتشف خدماتنا الآن",flagged,ar,general,manual,no,"urgency"
104,"استفد من هذا العرض اليوم",flagged,ar,retail,manual,no,"promotion"
105,"ابدأ الآن وجرب الفرق",flagged,ar,general,manual,no,"call to action"
106,"انضم اليوم وابدأ رحلتك",flagged,ar,general,manual,no,"soft marketing"
107,"تعرف على ما نقدمه الآن",flagged,ar,general,manual,no,"promotion"
108,"انضم إلى آلاف المستخدمين اليوم",flagged,ar,general,manual,no,"social proof"
109,"ابدأ تجربتك معنا الآن",flagged,ar,general,manual,no,"soft persuasion"
110,"استكشف خدماتنا وابدأ الآن",flagged,ar,general,manual,no,"call to action"
